This is a list of Dutch exonyms for towns located in France.

Département Nord 
 Armbouts-Cappel		Armboutskappel
 Armentières		Armentiers
 Arnèke			Arneke
 Bac-de-Millam		?
 Bailleul	Belle
 Bambecque			Bambeke
 Bavinchove		Bavinkhove
 Benkies-Meulen		Benkies-Meulen
 Bergues			Sint-Winoksbergen
 Berthen			Berten
 Bierne			Bieren
 Bissezeele		Bissezele
 Blaringhem		Blaringem
 Boeschepe			Boeschepe
 Boëseghem			Boezegem
 Bollezeele		Bollezele
 Booneghem			Boonegem
 Borre		Borre
 Bourbourg			Broekburg
 Bousbecque		Boesbeke
 Bray-Dunes		Bray Duinen
 Brouckerque		Broekkerke
 Broxeele			Broksele
 Buysscheure		Buisscheure
 Caëstre			Kaaster
 Calicanes			?
 Capelle-Brouck		Kapellebroek
 Cappelle-la-Grande	Grootkappel
 Cassel	Kassel
 Comines	Komen
 Coppenaxfort		Koppenaksvoort
 Coudekerque-Branche	Nieuw Koudekerke
 Coudekerque-Village	Koudekerke
 Craywick			Kraaiwijk
 Crochte			Krochte
 Croix-du-Bac		Kruis van Bac
 Drincham			Drinkam
 Droogland			Droogland
 Dunkerque		Duinkerke
 Ebblinghem		Ebblingem
 Eecke			Eke
 Eringhem			Eringem
 Erquinghem-Lys		Erkegem a.d. Leie
 Escobecques		Schobeke
 Esquelbecq		Ekelsbeke
 Estaires			Stegers
 Flêtre			Vleteren
 Frelinghien		Verlegem
 Ghyvelde			Gijvelde
 Godewaersvelde		Godewaarsvelde
 Grande-Synthe		Groot Sinten
 Grand-Fort-Philippe	Groot Filipsfort
 Grand-Millebrugghe	Groot Millebrugge
 Gravelines		Gravelingen
 Haeghe-Meulen		Haage-Meulen
 Haezepoel			Hazepoel
 Halluin			Halewijn
 Hameau-des-Neiges		Sneeuw Hamlet
 Hardifort			Hardevoort
 Haverskerque		Haverskerke
 Hazebrouck		Hazebroek
 Herzeele			Herzele
 Holque			Holke
 Hondeghem			Hondegem
 Hondschoote		Hondschoote
 Houtkerque		Houtkerke
 Hoymille			Hooimille
 Killem			Killem
 Killem-Linde		Killem-Linde
 Kromen-Hoek		Kroemenhoek
 Kruysweg			Kruisweg
 L'Erkelsbrugge		Erkelsbrugge
 L'Hossenaere		Hossenaare
 La Belle-Vue		Mooi-Zicht
 La Brouckstraete		Broekstraat
 La Gorgue			De Gorge
 La Kruystraete		Kruisstraat
 La-Motte-au-Bois		De Walle
 Le Cygne			De Swaan
 Le Galghouck		Galghoek
 Le Guindal		Guindaal
 Le Kieken-Put		Kiekenput
 Le Menegat		Menegat
